Name,Card_no,DOB,Age,Gender,Card_Type,Exp_date,Credit_Limit,Base_Location,Base_Latitude,Base_longitude,Avg_no_trans,Occupation,Mobile_No ,Education
Kennith Coaster,7.47051E+15,28/02/1964,53,Male,Gold,22/04/2018,350000,Chennai,13.08268,80.27072,20,Doctor,9160531083,Post_Grad
Emanuel McKernan,6.56204E+15,14/11/1979,38,Male,Gold,6/4/2018,225000,Bangalore,12.9716,77.59456,17,Entrepreneur,9338866226,Grad
Twyla Chicchetto,7.61003E+15,24/11/1957,60,Female,Gold,17/03/2019,175000,Pune,18.52043,73.85674,16,Entrepreneur,9134128142,Grad
Johnna Bickerdyke,9.47143E+15,3/11/1955,62,Male,Silver,4/6/2019,175000,Surat,21.17024,72.83106,16,IT Employee,9502593662,Grad
Peirce Cabral,9.45422E+15,30/01/1958,59,Male,Gold,18/06/2019,150000,Hyderabad,17.38504,78.48667,16,IT Employee,8803202352,Grad
Garrett Rodell,8.3566E+15,6/9/1969,48,Female,Gold,15/07/2018,100000,Delhi,28.70406,77.10249,15,Government Officer,8983855281,Grad
Archibold Garrelts,8.23595E+15,27/07/1967,50,Male,Gold,21/03/2019,100000,Mumbai,19.07598,72.87766,15,Lawyer,9353525767,Post_Grad
Lorette Dicky,9.35528E+15,11/10/1991,26,Male,Silver,1/12/2018,175000,Kolkata,22.57265,88.3639,16,Professor,9244035131,Post_Grad
Vasili Oboy,9.44957E+15,6/7/1963,54,Female,Gold,22/12/2018,250000,Ahmedabad,23.02251,72.57136,18,Government Officer,9895436247,Grad
Gina Djekovic,8.4852E+15,31/01/1979,38,Male,Gold,15/05/2018,200000,Mysore,12.29581,76.63938,17,Business,9659177836,Intermediate
Hewet Wisbey,6.42293E+15,30/04/1992,25,Male,Gold,5/10/2019,325000,Chennai,13.08268,80.27072,20,Entrepreneur,9743377070,Grad
Hillary McGougan,6.42293E+15,21/06/1991,26,Female,Platinum,5/10/2019,300000,Bangalore,12.9716,77.59456,19,Business,8924814175,Intermediate
Kalvin Biggin,6.09026E+15,11/2/1969,48,Male,Gold,27/12/2018,275000,Pune,18.52043,73.85674,18,Government Officer,9376368941,Grad
Marlene Deekes,6.63425E+15,27/03/1961,56,Male,Gold,5/6/2018,275000,Mumbai,19.07598,72.87766,18,IT Employee,9508174717,Grad
Darya Blowin,6.7468E+15,24/03/1955,62,Female,Gold,7/1/2018,175000,Kolkata,22.57265,88.3639,16,HR,9901659372,Post_Grad
Sergio Darthe,5.6605E+15,17/02/1984,33,Male,Silver,24/04/2018,75000,Surat,21.17024,72.83106,14,Business,9020890683,Intermediate
Shana Gloy,5.09064E+15,29/08/1988,29,Male,Gold,6/2/2019,175000,Ahmedabad,23.02251,72.57136,16,Lawyer,9790596880,Post_Grad
Lilian Tison,6.06981E+15,31/12/1976,40,Female,Gold,14/08/2019,150000,Delhi,28.70406,77.10249,16,HR,9334166478,Post_Grad
Colby Biasi,8.9187E+15,7/11/1979,38,Male,Gold,29/03/2018,300000,Chennai,13.08268,80.27072,19,Entrepreneur,9158328115,Grad
Sher Kerslake,7.30756E+15,16/01/1991,26,Male,Silver,4/12/2019,200000,Pune,18.52043,73.85674,17,Entrepreneur,9718743906,Grad
Nellie Rudsdale,7.47372E+15,21/10/1972,45,Female,Gold,31/01/2019,100000,Mysore,12.29581,76.63938,14,Business,9414115088,Intermediate
Terry Krier,5.22371E+15,19/03/1984,33,Male,Gold,5/10/2019,300000,Bangalore,12.9716,77.59456,19,IT Employee,8716023652,Grad
Carling Swigger,7.35402E+15,5/2/1962,55,Male,Gold,14/05/2019,275000,Pune,18.52043,73.85674,18,Business,8895864371,Intermediate
Phaidra Trude,6.53373E+15,8/9/1988,29,Female,Platinum,7/1/2019,300000,Chennai,13.08268,80.27072,19,Business,9178192390,Intermediate
Doralynn Quene,5.01402E+15,28/04/1955,62,Male,Gold,26/08/2019,250000,Mumbai,19.07598,72.87766,18,Doctor,8824642617,Post_Grad
Madlin Gallico,9.55302E+15,19/11/1957,60,Male,Gold,19/09/2018,175000,Delhi,28.70406,77.10249,16,HR,8866319856,Post_Grad
Ive Errol,4.63503E+15,22/04/1972,45,Female,Gold,16/07/2019,100000,Kolkata,22.57265,88.3639,15,Business,8712998795,Intermediate
Otha Bernardet,6.63735E+15,18/04/1976,41,Male,Silver,22/05/2018,250000,Hyderabad,17.38504,78.48667,18,Entrepreneur,9227220820,Grad
Perry Pele,6.01665E+15,8/12/1964,53,Male,Gold,2/2/2018,300000,Ahmedabad,23.02251,72.57136,19,Business,9223218650,Intermediate
Ulrikaumeko Franseco,6.8561E+15,31/12/1963,53,Female,Gold,1/8/2018,175000,Surat,21.17024,72.83106,16,Government Officer,9528974110,Grad
Emilio Mesant,8.87128E+15,2/2/1993,24,Male,Gold,14/01/2018,250000,Chennai,13.08268,80.27072,18,Government Officer,9060139332,Grad
Arden Antonietti,6.21816E+15,4/1/1974,43,Male,Silver,20/03/2018,350000,Mumbai,19.07598,72.87766,20,Business,9575295528,High_School
Michelina Brockbank,6.3521E+15,3/5/1983,34,Female,Gold,27/11/2018,225000,Delhi,28.70406,77.10249,17,IT Employee,9543938747,Grad
Karon Rabjohns,7.57919E+15,17/09/1967,50,Male,Gold,30/01/2018,175000,Kolkata,22.57265,88.3639,16,Doctor,8728283391,Post_Grad
Sharia Samworth,4.75687E+15,22/02/1976,41,Male,Gold,22/02/2018,300000,Bangalore,12.9716,77.59456,19,Professor,9640801005,Post_Grad
Witty Benedidick,7.81393E+15,18/09/1988,29,Female,Platinum,27/09/2019,350000,Hyderabad,17.38504,78.48667,20,Business,9894508879,High_School
Osmund OLoinn,6.57749E+15,17/09/1963,54,Male,Gold,4/7/2018,100000,Ahmedabad,23.02251,72.57136,15,Doctor,9906935751,Post_Grad
Farly Diggles,8.63805E+15,13/11/1975,42,Male,Gold,20/08/2019,125000,Pune,18.52043,73.85674,15,HR,9302511651,Post_Grad
Suzette Crew,9.05825E+15,24/05/1979,38,Female,Gold,28/04/2019,175000,Mysore,12.29581,76.63938,16,Business,9641768165,High_School
Joyann Tregust,5.85586E+15,19/05/1983,34,Male,Silver,6/3/2018,100000,Surat,21.17024,72.83106,15,Professor,8911216728,Post_Grad
Pen Haycox,9.23765E+15,21/04/1993,24,Male,Gold,24/02/2019,175000,Chennai,13.08268,80.27072,16,HR,9105952868,Post_Grad
Jacklyn Snalham,4.99448E+15,21/02/1976,41,Female,Gold,14/03/2019,125000,Mumbai,19.07598,72.87766,15,Lawyer,9437364325,Post_Grad
Jaquelin Cardus,5.66265E+15,12/3/1992,25,Male,Gold,19/07/2019,325000,Delhi,28.70406,77.10249,20,IT Employee,9569740039,Grad
Reid Mayzes,7.23945E+15,4/2/1982,35,Male,Silver,2/9/2018,275000,Kolkata,22.57265,88.3639,18,Professor,8691868155,Post_Grad
Anjela Woolveridge,8.29891E+15,13/11/1993,24,Female,Gold,6/6/2019,125000,Bangalore,12.9716,77.59456,15,Business,8995940406,Intermediate
Jerad Pannett,8.26607E+15,1/10/1973,44,Male,Gold,22/04/2018,325000,Hyderabad,17.38504,78.48667,19,Business,9040380999,High_School
Rene Blunden,9.11336E+15,10/1/1978,39,Male,Gold,1/4/2019,250000,Ahmedabad,23.02251,72.57136,18,Lawyer,9510604761,Post_Grad
Steffane Peasegod,4.55598E+15,26/07/1966,51,Female,Platinum,16/11/2018,200000,Pune,18.52043,73.85674,17,IT Employee,9337054980,Grad
Godiva Ellse,9.65446E+15,16/01/1970,47,Male,Gold,14/06/2019,125000,Mysore,12.29581,76.63938,15,Business,9105242752,Intermediate
Quintana Skett,8.47937E+15,14/01/1958,59,Male,Gold,14/09/2019,250000,Surat,21.17024,72.83106,18,IT Employee,9043135786,Post_Grad
Paton Macbane,8.72273E+15,20/12/1957,59,Female,Gold,14/04/2018,100000,Chennai,13.08268,80.27072,15,Entrepreneur,8686587795,Grad
Virgie Castro,7.17103E+15,25/06/1975,42,Male,Silver,20/07/2019,300000,Mumbai,19.07598,72.87766,19,IT Employee,9347221912,Grad
Dasie Stilly,8.98651E+15,30/01/1993,24,Male,Gold,28/10/2018,75000,Delhi,28.70406,77.10249,14,IT Employee,9129321063,Grad
Jonis Gillingwater,5.14517E+15,24/07/1975,42,Female,Gold,22/05/2019,350000,Kolkata,22.57265,88.3639,20,Business,9356639233,High_School
Lorettalorna Dunkerk,5.5224E+15,29/07/1974,43,Male,Gold,9/7/2019,325000,Bangalore,12.9716,77.59456,20,Government Officer,8701075391,Grad
Tim Ghost,4.73654E+15,1/5/1985,32,Male,Silver,24/01/2019,150000,Ahmedabad,23.02251,72.57136,16,Government Officer,8924738871,Grad
Gavrielle Nickels,5.52681E+15,30/06/1987,30,Female,Gold,13/01/2019,100000,Pune,18.52043,73.85674,15,IT Employee,9918384917,Grad
